model,dimension,level,sample_count,eligible_count,clean_eligibility,full_manifest_operational,eligible_operational,coverage,conditional_ranking,conditional_minus_operational,coverage_optimism,eligibility_optimism,total_optimism,identity_residual
groundingdino,source_split,coco,600,600,1.0,0.8530208333333333,0.8530208333333333,0.9783541666666664,0.8718936990268522,0.0188728656935188,0.01887286569351887,0.0,0.01887286569351887,9.020562075079397e-17
groundingdino,source_split,objects365,400,400,1.0,0.89625,0.89625,0.97653125,0.9177893692598162,0.0215393692598162,0.021539369259816254,0.0,0.021539369259816254,9.367506770274758e-17
groundingdino,query_length_stratum,long_ge30,218,218,1.0,0.872821100917431,0.872821100917431,0.9814793577981652,0.8892913477829055,0.0164702468654744,0.01647024686547449,0.0,0.01647024686547449,1.3877787807814457e-16
groundingdino,query_length_stratum,medium_19_29,504,504,1.0,0.8635416666666668,0.8635416666666668,0.9755456349206348,0.8851883866375148,0.0216467199708479,0.021646719970847994,0.0,0.021646719970847994,3.122502256758253e-17
groundingdino,query_length_stratum,short_le18,278,278,1.0,0.8806205035971223,0.8806205035971223,0.9783723021582734,0.9000873201893469,0.0194668165922246,0.0194668165922246,0.0,0.0194668165922246,3.469446951953614e-18
groundingdino,target_scale_stratum,large_gt96,894,894,1.0,0.8657718120805369,0.8657718120805369,0.9779362416107382,0.8853049669726345,0.0195331548920976,0.019533154892097615,0.0,0.019533154892097615,2.7755575615628914e-17
groundingdino,target_scale_stratum,medium_32_96,105,105,1.0,0.9078571428571428,0.9078571428571428,0.9747619047619048,0.931362970200293,0.0235058273431503,0.02350582734315021,0.0,0.02350582734315021,2.0816681711721685e-17
groundingdino,target_scale_stratum,small_lt32,1,1,1.0,0.9875,0.9875,1.0,0.9875,0.0,0.0,0.0,0.0,0.0
yoloworld,source_split,coco,600,473,0.7883333333333333,0.5287916666666667,0.6707716701902748,0.7693181818181819,0.8719040912369893,0.2011324210467144,0.20113242104671447,0.14198000352360818,0.34311242457032265,5.551115123125783e-17
yoloworld,source_split,objects365,400,308,0.77,0.547625,0.7112012987012987,0.7928165584415584,0.8970565651394932,0.1858552664381945,0.1858552664381945,0.16357629870129864,0.34943156513949314,5.551115123125783e-17
yoloworld,query_length_stratum,long_ge30,218,159,0.7293577981651376,0.4932912844036697,0.6763364779874214,0.7674528301886793,0.8812743290309363,0.2049378510435149,0.20493785104351492,0.18304519358375165,0.38798304462726657,0.0
yoloworld,query_length_stratum,medium_19_29,504,400,0.7936507936507936,0.5351686507936508,0.6743125000000001,0.769375,0.8764419171405362,0.2021294171405361,0.20212941714053612,0.13914384920634926,0.3412732663468854,5.551115123125783e-17
yoloworld,query_length_stratum,short_le18,278,222,0.7985611510791367,0.5721672661870504,0.7164977477477478,0.8031531531531532,0.892106001121705,0.1756082533739572,0.17560825337395725,0.1443304815606974,0.31993873493465463,5.551115123125783e-17
yoloworld,target_scale_stratum,large_gt96,894,702,0.785234899328859,0.5385067114093959,0.6857905982905983,0.7780804843304845,0.8813877382886696,0.1955971399980712,0.19559713999807127,0.14728388688120242,0.3428810268792737,5.551115123125783e-17
yoloworld,target_scale_stratum,medium_32_96,105,78,0.7428571428571429,0.5133333333333332,0.691025641025641,0.7802884615384615,0.8856027931813514,0.1945771521557103,0.19457715215571036,0.17769230769230782,0.3722694598480182,1.1102230246251565e-16
yoloworld,target_scale_stratum,small_lt32,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
owlv2,source_split,coco,600,600,1.0,0.78175,0.78175,0.9109999999999998,0.8581229418221735,0.0763729418221735,0.07637294182217358,0.0,0.07637294182217358,2.7755575615628914e-17
owlv2,source_split,objects365,400,398,0.995,0.7465937500000002,0.7503454773869347,0.8670226130653266,0.8654278055495183,0.1150823281625835,0.11508232816258357,0.0037517273869345225,0.11883405554951809,1.8041124150158794e-16
owlv2,query_length_stratum,long_ge30,218,218,1.0,0.7728784403669725,0.7728784403669725,0.8869266055045872,0.8714119472459271,0.0985335068789545,0.09853350687895457,0.0,0.09853350687895457,4.163336342344337e-17
owlv2,query_length_stratum,medium_19_29,504,502,0.996031746031746,0.7686755952380953,0.7717380478087649,0.9019173306772909,0.8556638414179618,0.0839257936091969,0.08392579360919694,0.003062452570669616,0.08698824617986656,1.3877787807814457e-16
owlv2,query_length_stratum,short_le18,278,278,1.0,0.7618255395683452,0.7618255395683452,0.883318345323741,0.8624586408755407,0.1006331013071955,0.1006331013071955,0.0,0.1006331013071955,4.163336342344337e-17
owlv2,target_scale_stratum,large_gt96,894,893,0.9988814317673378,0.7730425055928412,0.7739081746920493,0.8987262038073908,0.8611167354567402,0.0872085607646908,0.08720856076469086,0.000865669099208155,0.08807422986389901,2.7755575615628914e-17
owlv2,target_scale_stratum,medium_32_96,105,104,0.9904761904761904,0.7220238095238094,0.7289663461538461,0.8490384615384615,0.8585787089467724,0.1296123627929262,0.1296123627929262,0.006942536630036744,0.13655489942296295,5.551115123125783e-17
owlv2,target_scale_stratum,small_lt32,1,1,1.0,0.775,0.775,0.8125,0.953846153846154,0.1788461538461538,0.178846153846154,0.0,0.178846153846154,1.1102230246251565e-16
